t,y,u,ref,a1_est,a2_est,b1_est,b2_est,Kp,Ki,Kd
0.0,0.1,29.002,0.0,0.0,0.0,0.0,0.0,40.0,1.0,5.0
0.02,0.09186955440269161,1.6460081678686191,0.0,-0.0011330230357571556,-0.0013807058845433408,-0.01651945822374353,0.024737827217718833,40.0,1.0,5.0
0.04,0.07538920677333245,-1.0991734611829695,0.0,-0.0017736820933584693,-0.0021966110560046755,-0.034633716266994255,0.012567086427288154,40.0,1.0,5.0
0.06,0.059223939109140686,-1.6658296976766107,0.0,-0.01720902961825036,-0.020082889089079823,-0.02986032274357954,0.014706942559462727,40.0,1.0,5.0
0.08,0.04423968200004739,-1.9690625496257246,0.0,-0.04816670600556261,-0.05597410181067004,-0.024729436997085342,0.015480496084404004,40.0,1.0,5.0
0.1,0.03059744059978259,-2.1786363296171953,0.0,-0.08539440789778877,-0.09914019626574036,-0.019952525229457164,0.01525597403927841,40.0,1.0,5.0
0.12,0.018362077701762902,-2.3159639784226704,0.0,-0.1215983294374641,-0.14112177400284007,-0.015931405352428256,0.01451505006346456,40.0,1.0,5.0
0.14,0.0075584815702782445,-2.390014962416894,0.0,-0.15353556728982337,-0.17815716504821155,-0.01271305685140172,0.013585485701298973,40.0,1.0,5.0
0.16,-0.0018193815658749488,-2.408732626661473,0.0,-0.18051257652342262,-0.20944138824992933,-0.010185829033971545,0.012639480080473987,40.0,1.0,5.0
0.18,-0.009803497767200398,-2.379856610962899,0.0,-0.2029275220453639,-0.2354357461359083,-0.008205432205127849,0.011752805545829302,40.0,1.0,5.0
0.2,-0.016447340242987215,-2.310870825414573,0.0,-0.22149629927372622,-0.2569701833537017,-0.0066437080263746,0.010951696252270918,40.0,1.0,5.0
0.22,-0.021821676254426253,-2.208904083310278,0.0,-0.23693412368059039,-0.2748739661901806,-0.0053997844215453675,0.010239608347137169,40.0,1.0,5.0
0.24,-0.026010675823226848,-2.0806501689191563,0.0,-0.24985307709332036,-0.2898568244564317,-0.0043979124959204466,0.009610642058609998,40.0,1.0,5.0
0.26,-0.029108354943834264,-1.9323093887940348,0.0,-0.2607460761749156,-0.30249033287662397,-0.003582138136002796,0.009055815883196731,40.0,1.0,5.0
